"id","pn","biosv","prefix","net","poe","ign"
106,"Nuvo-9006E-PoE","NV9KA004.Build230323","BNV9006P",6,1,0
107,"Nuvo-9006LP","NV9KA004.Build230323","BNV90060",6,0,0
108,"Nuvo-9006LP-PoE","NV9KA004.Build230323","BNV9006P",6,1,0
109,"Nuvo-9006P","NV9KA004.Build230323","BNV90060",6,0,0
110,"Nuvo-9006P-PoE","NV9KA004.Build230323","BNV9006P",6,1,0
114,"Nuvo-9160GC","NV9KA004.Build230323","BNV90060",6,0,0
115,"Nuvo-9160GC-PoE","NV9KA004.Build230323","BNV9006P",6,1,0
116,"Nuvo-9166GC","NV9KA004.Build230323","BNV91660",6,0,0
117,"Nuvo-9166GC-PoE","NV9KA004.Build230323","BNV91661",6,1,0
121,"Nuvo-9501","NV95A002.Build230719","BNV95010",2,0,0
122,"Nuvo-9505D","NV95A002.Build230719","EC950501",2,0,0
127,"POC-300","POC3B03I.Build220715","POC33000",3,1,0
128,"POC-310","POC3B03I.Build220715","POC33100",3,0,0
129,"POC-320","POC3B05N.Build230423","POC33200",3,1,0
130,"POC-330","POC3B05N.Build230423","POC33300",3,0,0
133,"POC-40","POC40A02.Build221206","POC40400",2,0,0
134,"POC-40+","POC40PA1.Build230811","POC40400",2,0,0
135,"POC-40+IGN","POC40PA1.Build230811","POC4040I",2,0,1
136,"POC-400","POC4A003.Build220614 ","POC44000",3,1,0
137,"POC-40-DIO","POC40A02.Build221206","POC40400",2,0,0
138,"POC-40-IGN","POC40A02.Build221206","POC4040I",2,0,1
139,"POC-410","POC4A003.Build220614 ","POC44100",3,0,0
140,"POC-451VTC","POC45A01.Build220722","POC44510",3,1,0
141,"POC-465AWP","POC46A01.Build230725","AW046500",2,0,0
142,"POC-515","POC5A003.Build201216","POC55150",4,1,0
143,"POC-545","POC5A003.Build201216","POC55450",4,1,0
144,"POC-551VTC","POC55A02.Build201214","POC55510",4,1,0
145,"POC-712","POC7A001.Build231011","UC071200",4,0,0
146,"POC-715","POC7A001.Build231011","UC071500",4,1,0
147,"RGS-8805GC","RGS8A002.Build221223","RGS88050",6,1,1
148,"SEMIL-1301","SL13A002.Build210428","SL130100",4,1,1
149,"SEMIL-1301-10G","SL13A002.Build210428","SL130101",5,1,1
150,"SEMIL-1311J","SL13A002.Build210428","SL130100",4,1,1
151,"SEMIL-1311J-10G","SL13A002.Build210428","SL130101",5,1,1
152,"SEMIL-1321GC","SL13A002.Build210428","SL130100",4,1,1
153,"SEMIL-1321GC-10G-A2K","SL13A002.Build210428","SL130101",5,1,1
154,"SEMIL-1321GC-A2K","SL13A002.Build210428","SL130100",4,1,1
155,"SEMIL-1341GC","SL13A002.Build210428","SL130100",4,1,1
156,"SEMIL-1341GC-10G","SL13A002.Build210428","SL130101",5,1,1
157,"SEMIL-1704","SL17A002.Build210428","SL170400",4,1,1
158,"SEMIL-1704-10G","SL17A002.Build210428","SL170401",5,1,1
159,"SEMIL-1708","SL17A002.Build210428","SL170800",8,1,1
160,"SEMIL-1708-10G","SL17A002.Build210428","SL170801",9,1,1
161,"SEMIL-1714J","SL17A002.Build210428","SL171400",4,1,1
162,"SEMIL-1714J-10G","SL17A002.Build210428","SL171401",5,1,1
163,"SEMIL-1718J","SL17A002.Build210428","SL171800",8,1,1
164,"SEMIL-1718J-10G","SL17A002.Build210428","SL171801",9,1,1
165,"SEMIL-1724GC","SL17A002.Build210428","SL172400",4,1,1
166,"SEMIL-1724GC-A2K","SL17A002.Build210428","SL172401",4,1,1
167,"SEMIL-1728GC","SL17A002.Build210428","SL172800",8,1,1
168,"SEMIL-1728GC-10G","SL17A002.Build210428","SL172801",9,1,1
169,"SEMIL-1728GC-10G-A2K","SL17A002.Build210428","SL172811",9,1,1
170,"SEMIL-1728GC-A2K","SL17A002.Build210428","SL172802",8,1,1
171,"SEMIL-1744GC","SL17A002.Build210428","SL174400",4,1,1
172,"SEMIL-1744GC-10G","SL17A002.Build210428","SL174401",5,1,1
173,"SEMIL-1748GC","SL17A002.Build210428","SL174800",8,1,1
174,"SEMIL-1748GC-10G","SL17A002.Build210428","SL174801",9,1,1
84,"Nuvo-7501","NV75A002.Build230523","BNV75010",2,0,0
85,"Nuvo-7505D","NV75A002.Build230523","BNV7505D",2,0,0
86,"Nuvo-7531","NV7531A2.Build230523","BNV75310",4,0,0
87,"Nuvo-7531-IGN","NV7531A2.Build230523","BNV75310",4,0,1
123,"Nuvo-9531","NV95A002.Build230719","BNV95310",4,0,0
124,"Nuvo-9531-IGN","NV95A002.Build230719","BNV9531I",4,0,1
125,"Nuvo-9531-PoE","NV95A002.Build230719","BNV953P0",4,1,0
111,"Nuvo-9100VTC","NV91A001.Buils230616","VT910000",6,1,1
112,"Nuvo-9104VTC","NV91A001.Buils230616","VT910400",6,1,1
113,"Nuvo-9108VTC","NV91A001.Buils230616","VT910800",6,1,1
131,"POC-351VTC","POC35A07.Build230215","POC33510",3,1,1
132,"POC-351VTC-70","POC35A07.Build230215","POC33510",3,1,1
88,"Nuvo-8003","NV8003A3.Build230915","BNV80030",2,0,0
89,"Nuvo-8023","NV8023A3.Build230915","BNV80230",2,0,0
90,"Nuvo-8032","NV8032A3.Build230915","BNV80320",2,0,0
92,"Nuvo-8041","NV8041A3.Build230915","BNV80410",2,0,0
126,"Nuvo-9531-PoE-IGN","NV95A002.Build230719","BNV953PI",4,1,1
77,"Nuvo-7168GC-PoE","NV7168A4.Build211013","BNV7168P",6,1,0
78,"Nuvo-7200VTC","NV71A002.Build210930","BNV71000",6,1,1
79,"Nuvo-7204VTC","NV71A002.Build210930","BNV71040",6,1,1
80,"Nuvo-7208VTC","NV71A002.Build210930","BNV71080",10,1,1
81,"Nuvo-7250VTC","NV71A002.Build210930","BNV71000",6,1,1
82,"Nuvo-7254VTC","NV71A002.Build210930","BNV71040",6,1,1
83,"Nuvo-7258VTC","NV71A002.Build210930","BNV71080",10,1,1
118,"Nuvo-9200VTC","NV91A001.Buils230616","VT910000",6,1,1
119,"Nuvo-9204VTC","NV91A001.Buils230616","VT910400",6,1,1
120,"Nuvo-9208VTC","NV91A001.Buils230616","VT910800",10,1,1
175,"Nuvo-7208VTC-DY02","NV71A2DY.Build220804","BNV71080",10,1,1
177,"POC-351VTC-MGF02","POC35A4M.Build200617","POC33510",3,1,1
178,"Nuvo-7006LP_MSE06","NV7KA006.Build221216","BNV70060",6,0,0
180,"Nuvo-9531-PoE-IGN-i7DC-JET01","NV95A02_Jet.Build240117","BNV953PI",4,1,1
